topic_key,title,short_title,start_phrase,stance_1,stance_2,stance_3,stance_4,stance_5,categories
healthcare,Healthcare Access and Affordability,Healthcare,The federal government should,provide free healthcare to all Americans through a single-payer system.,offer a public healthcare option alongside private insurance plans.,regulate healthcare costs while maintaining the current insurance system.,provide limited healthcare assistance only to those who cannot afford it.,not be involved in healthcare and leave it to private markets.,Healthcare and Social Safety Nets
abortion,Reproductive Rights and Abortion Access,Abortion,The government should,"ensure abortion is legal, accessible, and publicly funded at all stages of pregnancy.",keep abortion legal and accessible through the second trimester with rare exceptions afterward.,"allow abortion in the first trimester and in cases of rape, incest, or maternal health risks.","restrict abortion to only cases involving rape, incest, or serious threats to the mother's life.",ban abortion completely with no exceptions and impose criminal penalties for providers and patients.,Healthcare and Social Safety Nets;Civil Rights and Social Policy
tariffs,United States Tariff Policy,Tariffs,The federal government should,eliminate all tariffs and pursue completely free trade with every country.,reduce most tariffs while keeping some on products that harm the environment.,use tariffs selectively to protect key American industries and jobs.,increase tariffs on countries that don't trade fairly with America.,impose high tariffs on all imports to bring manufacturing back to America.,Economic Policy and Labor
taxes,Taxation and Government Spending,Taxes,The federal government should,significantly raise taxes on wealthy individuals and large corporations,modestly increase taxes on high earners while maintaining current rates for middle-class families.,keep current tax rates but close loopholes to ensure everyone pays their fair share.,reduce tax rates across all income levels,drastically cut taxes and implement a flat tax rate for all Americans regardless of income.,Economic Policy and Labor
same-sex-marriage,Same-Sex Marriage,Same-Sex Marriage,The government should,require all states to recognize same-sex marriages and provide full federal benefits and protections.,allow same-sex marriage nationwide while protecting some organizations' right to decline participation.,let each state decide its own same-sex marriage laws without federal interference.,recognize civil unions for same-sex couples but reserve marriage for opposite-sex couples.,make same-sex marriage illegal and define marriage as only between one man and one woman.,Civil Rights and Social Policy
religious-freedom,Religious Freedom,Religious Freedom,The government should,strictly separate religion from all public institutions and prohibit religious exemptions from civil rights laws.,protect religious freedom while ensuring it doesn't override anti-discrimination protections in employment and housing.,balance protecting religious practices with maintaining equal treatment under the law for all citizens.,protect religious freedom and allow faith-based exemptions from laws that conflict with sincere religious beliefs.,strongly protect religious freedom and allow religious organizations complete autonomy in their operations and hiring practices.,"Governance, Democracy, and Institutional Reform;Civil Rights and Social Policy"
trans-athletes,Transgender Athletes,Trans Athletes,Sports organizations should,allow all transgender athletes to compete on teams matching their gender identity without any restrictions or requirements.,should allow transgender athletes to compete on teams matching their gender identity after completing basic documentation of their transition.,create separate transgender divisions or allow case-by-case decisions based on individual circumstances and sport requirements.,require transgender athletes to compete only on teams matching their biological sex assigned at birth.,completely ban all transgender athletes from competing in any organized sports competitions.,Civil Rights and Social Policy
ukraine-support,Ukraine - Russia Conflict,Ukraine Support,The United States should,significantly increase military aid to Ukraine and commit to supporting them until complete victory over Russia,continue providing current levels of military and economic aid to help Ukraine defend itself.,provide limited humanitarian aid to Ukraine while encouraging diplomatic negotiations to end the war.,reduce aid to Ukraine and focus American resources on domestic priorities instead.,end all aid to Ukraine immediately and stay completely out of the conflict.,Foreign Policy and National Security
medicare,Medicare / Medicaid,Medicare/aid,The federal government should,expand Medicare to cover everyone regardless of age,lower Medicare age to 55 and expand Medicaid significantly,improve current programs while controlling costs,partially privatize Medicare and reduce Medicaid coverage,phase out both programs and use private insurance only,Healthcare and Social Safety Nets
fossil-fuels,Fossil Fuel Policy,Fossil Fuels,The federal government should,immediately ban all new fossil fuel drilling and extraction,stop issuing new permits for fossil fuel drilling,maintain current levels of fossil fuel production with existing environmental regulations,expand fossil fuel drilling permits,remove environmental restrictions and maximize fossil fuel extraction,Environment and Climate Policy
